"author","year","n1","n2","n","smd","se_smd","z","p","crit","sig_fixed","sig_005","sig_p1.1","sig_p1.2","sig_p1.5","sig_p2"
"Struijs","2004",63,53,116,0.03,0.186399623689702,0.160944530928564,0.872137088847984,0.0287800693681993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Uygur","2017",41,51,92,2,0.256392701679429,7.80053405147478,6.16457301715179e-15,7.23606532290079,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cha","2014",16,14,30,3.05,0.537559520513997,5.67379031271494,1.39672082467538e-08,5.31770182475624,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Bang and Deyle","2000",27,22,49,0.81,0.29864105620421,2.71228614811128,0.00668208820861609,1.28688488947854,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Bennell","2010",59,61,120,0.35,0.183991879799056,1.90225786258745,0.0571374515492925,0.59786953943198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Galasso","2012",11,9,20,1.17,0.486048044971073,2.40716943953479,0.016076708961447,1.378755951998,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Gerdesmeyer","2003",46,42,88,0.43,0.215868530421006,1.99195315390056,0.0463761980795658,0.68589187077862,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hsu","2008",33,13,46,4.12,0.540120778208165,7.62792354270831,2.38564970745244e-14,8.19265022558961,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Kolk","2013",40,37,77,0.19,0.228607617133469,0.831118413211366,0.40590673870458,0.207567274734572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kvalvaag","2017",69,74,143,0.11,0.167477087474704,0.656806263224602,0.511305496477018,0.135162004238462,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Li","2017",42,42,84,0.49,0.221468314405728,2.21250611544514,0.0269317141225416,0.815752690133016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pleiner","2004",20,22,42,0.72,0.318788290289926,2.25855221766517,0.0239112529348303,0.998859310222721,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Schmitt","2001",20,18,38,0.06,0.324966035112299,0.184634680295944,0.853515582635586,0.0435430179861438,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Speed","2002",34,40,74,0.18,0.233732076585139,0.770112526401285,0.441233146096283,0.19009514251347,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gao","2020",14,12,26,2.59,0.532694873111078,4.86207044733455,1.16164263267111e-06,4.19437402556781,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Huang","2016",12,12,24,0.09,0.408454913872592,0.220342556652589,0.825604379065086,0.0603009232690597,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Jeong","2017",15,15,30,0.27,0.366808305976478,0.736079297008379,0.461682441224562,0.227237026895916,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
